countline_id,valid_days_2022,valid_days_2024,first_valid_date,last_valid_date,countline_name,route_type,local_authority,lsoa21nm,hardware_name,eligible_2022_2024
23807,46,364,2022-11-16,2024-12-31,s30_LondonRoad_road_mt001,Road,Liverpool,Liverpool 060C,"London Rd - Eastbound, near Norton St",TRUE
23808,47,263,2022-11-15,2024-12-31,s44_LondonRoad_road_mt001,Road,Liverpool,Liverpool 060C,"London Rd - Westbound, near Norton St",TRUE
16353,45,365,2022-11-16,2024-12-31,S7_mertonRd_road_mt001,Road,Sefton,Sefton 037D,Merton Rd near Washington Parade,TRUE
16360,46,70,2022-11-15,2024-03-17,S5_chapelSt_road_mt001,Road,Sefton,Sefton 004I,Chapel St,TRUE
16370,46,184,2022-11-16,2024-10-24,S6_talbotSt_road_mt001,Road,Sefton,Sefton 004I,Talbot St near Portland St,TRUE
16371,46,184,2022-11-16,2024-10-24,S6_talbotSt_lhs_mt001,Other / crossing,Sefton,Sefton 004I,Talbot St near Portland St,TRUE
16372,46,184,2022-11-16,2024-10-24,S6_talbotSt_rhs_mt001,Other / crossing,Sefton,Sefton 004I,Talbot St near Portland St,TRUE
16392,47,365,2022-11-15,2024-12-31,S7_mertonRd_cycle_mt001,Path/cycle facility,Sefton,Sefton 037D,Merton Rd near Washington Parade,TRUE
22870,45,365,2022-11-15,2024-12-31,S36_waterlooRd_mt0001,Other / crossing,Sefton,Sefton 009F,Waterloo Rd near Grnbank Dr,TRUE
22871,47,365,2022-11-15,2024-12-31,S37_LiverpoolRd_mt001,Other / crossing,Sefton,Sefton 011D,Liverpool Rd near Saint Thomas More Dr,TRUE
22884,47,365,2022-11-15,2024-12-31,S35_marshfield_PathLHS_mt001,Path/cycle facility,Sefton,Sefton 003B,Marshside Rd near Fylde Rd,TRUE
22885,47,365,2022-11-15,2024-12-31,S35_marshfield_road_mt001,Road,Sefton,Sefton 003B,Marshside Rd near Fylde Rd,TRUE
22886,47,365,2022-11-15,2024-12-31,S35_marshfield_PathRHS_mt001,Path/cycle facility,Sefton,Sefton 003B,Marshside Rd near Fylde Rd,TRUE
26532,47,365,2022-11-15,2024-12-31,S37_LiverpoolRd_path_LHS_mt001,Path/cycle facility,Sefton,Sefton 011D,Liverpool Rd near Saint Thomas More Dr,TRUE
40720,43,359,2022-11-15,2024-12-31,S1_Park_Crescent_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 003D,Park Cres,TRUE
40721,43,359,2022-11-15,2024-12-31,S1_Park_Crescent_road_smbc001,Road,Sefton,Sefton 003D,Park Cres,TRUE
40722,43,359,2022-11-15,2024-12-31,S1_Park_Crescent_path_RHS_smbc001,Path/cycle facility,Sefton,Sefton 003D,Park Cres,TRUE
40723,44,364,2022-11-16,2024-12-31,S2_Liverpool_Road_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 011D,Liverpool Rd near Saint Thomas More Dr,TRUE
40724,44,364,2022-11-16,2024-12-31,S2_Liverpool_Road_road_smbc001,Road,Sefton,Sefton 011D,Liverpool Rd near Saint Thomas More Dr,TRUE
40725,46,362,2022-11-15,2024-12-31,S3_Waterloo_Road_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 009F,Waterloo Rd near Cromer Rd,TRUE
40726,46,362,2022-11-15,2024-12-31,S3_Waterloo_Road_road_smbc001,Road,Sefton,Sefton 009F,Waterloo Rd near Cromer Rd,TRUE
40727,45,363,2022-11-15,2024-12-31,S5_Trafalgar_Road_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 009F,Trafalgar Rd near Churchfields,TRUE
40728,45,363,2022-11-15,2024-12-31,S5_Trafalgar_Road_smbc001,Road,Sefton,Sefton 009F,Trafalgar Rd near Churchfields,TRUE
40729,45,363,2022-11-15,2024-12-31,S5_Trafalgar_Road_path_RHS_smbc001,Path/cycle facility,Sefton,Sefton 009F,Trafalgar Rd near Churchfields,TRUE
40730,46,341,2022-11-15,2024-12-31,S6_Preston_New_Road_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 002C,Preston New Rd near Rathmore Cres,TRUE
40731,46,341,2022-11-15,2024-12-31,S6_Preston_New_Road_smbc001,Road,Sefton,Sefton 002C,Preston New Rd near Rathmore Cres,TRUE
40732,46,363,2022-11-15,2024-12-31,S7_Preston_New_Road_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 002C,Preston New Rd near Mallee Cres,TRUE
40733,46,363,2022-11-15,2024-12-31,S7_Preston_New_Road_smbc001,Road,Sefton,Sefton 002C,Preston New Rd near Mallee Cres,TRUE
40734,46,37,2022-11-16,2024-02-06,S12_HawksheadSt_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 004D,Hawkshead St near Kestrel Ct,TRUE
40735,46,37,2022-11-16,2024-02-06,S12_HawksheadSt_road_smbc001,Road,Sefton,Sefton 004D,Hawkshead St near Kestrel Ct,TRUE
40736,46,37,2022-11-16,2024-02-06,S12_HawksheadSt_path_RHS_smbc001,Path/cycle facility,Sefton,Sefton 004D,Hawkshead St near Kestrel Ct,TRUE
40737,46,37,2022-11-15,2024-02-06,S10_HallStreet_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 004D,Hall St near East St,TRUE
40738,46,37,2022-11-15,2024-02-06,S10_HallStreet_road_smbc001,Road,Sefton,Sefton 004D,Hall St near East St,TRUE
40739,46,37,2022-11-15,2024-02-06,S10_MountSt_Crossing_RHS_smbc001,Other / crossing,Sefton,Sefton 004D,Hall St near East St,TRUE
40740,46,365,2022-11-15,2024-12-31,S11_KingStreet_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 004H,King St near Wellington St,TRUE
40741,46,365,2022-11-15,2024-12-31,S11_KingStreet_road_smbc001,Road,Sefton,Sefton 004H,King St near Wellington St,TRUE
40742,46,365,2022-11-15,2024-12-31,S11_KingStreet_path_RHS_smbc001,Path/cycle facility,Sefton,Sefton 004H,King St near Wellington St,TRUE
40743,45,364,2022-11-16,2024-12-31,S4_DoverRoad_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 009A,Dover Rd near Conyers Ave,TRUE
40744,45,364,2022-11-16,2024-12-31,S4_DoverRoad_smbc001,Road,Sefton,Sefton 009A,Dover Rd near Conyers Ave,TRUE
40745,46,364,2022-11-15,2024-12-31,S8_Maghull_Lane_path_LHS_smbc001,Path/cycle facility,Sefton,Sefton 026B,Maghull Ln near Maghull Ln Interchange,TRUE
40746,46,364,2022-11-15,2024-12-31,S8_Maghull_Lane_smbc001,Other / crossing,Sefton,Sefton 026B,Maghull Ln near Maghull Ln Interchange,TRUE
43340,46,357,2022-11-15,2024-12-31,S13_HoughtonRd_north_LHSPath_smbc001,Path/cycle facility,Sefton,Sefton 004G,Hoghton St near Hoghton Grove,TRUE
43342,46,357,2022-11-15,2024-12-31,S13_HoughtonRd_north_CycleLane_smbc001,Path/cycle facility,Sefton,Sefton 004G,Hoghton St near Hoghton Grove,TRUE
43343,46,357,2022-11-15,2024-12-31,S13_HoughtonRd_north_Road_smbc001,Road,Sefton,Sefton 004G,Hoghton St near Hoghton Grove,TRUE
43346,47,364,2022-11-15,2024-12-31,S15_QueensRd_RHS_Road_smbc001,Road,Sefton,Sefton 004A,Queen's Rd near Hawkshead St,TRUE
43347,47,364,2022-11-15,2024-12-31,S15_QueensRd_LHS_Road_smbc001,Road,Sefton,Sefton 004A,Queen's Rd near Hawkshead St,TRUE
43493,46,264,2022-11-16,2024-12-31,S14_HoughtonSt_south_LHSPath_smbc001,Path/cycle facility,Sefton,Sefton 004G,Hoghton St near Queen's Rd,TRUE
43494,46,264,2022-11-16,2024-12-31,S14_HoughtonSt__south_CycleLane_smbc001,Path/cycle facility,Sefton,Sefton 004G,Hoghton St near Queen's Rd,TRUE
43495,46,264,2022-11-16,2024-12-31,S14_HoughtonSt_south_road_smbc001,Road,Sefton,Sefton 004G,Hoghton St near Queen's Rd,TRUE
16354,41,353,2022-11-15,2024-12-31,S14_clockFaceRd_road_mt001,Road,St. Helens,St. Helens 022F,Clock Face Rd near Four Acre Ln,TRUE
16355,41,353,2022-11-15,2024-12-31,S14_clockFaceRd_path_RHS_mt001,Path/cycle facility,St. Helens,St. Helens 022F,Clock Face Rd near Four Acre Ln,TRUE
16396,41,360,2022-11-15,2024-12-31,S14_clockfaceRd_path_LHS_mt001,Path/cycle facility,St. Helens,St. Helens 022F,Clock Face Rd near Four Acre Ln,TRUE
16672,46,365,2022-11-15,2024-12-31,S23_ChesterLane_road_mt001,Road,St. Helens,St. Helens 022F,Chester Ln near Four Acre Ln,TRUE
16673,46,365,2022-11-15,2024-12-31,S23_ChesterLane_RHSpath_mt001,Path/cycle facility,St. Helens,St. Helens 022F,Chester Ln near Four Acre Ln,TRUE
16676,46,365,2022-11-15,2024-12-31,S23_ChesterLane_lhs_mt001,Other / crossing,St. Helens,St. Helens 022F,Chester Ln near Four Acre Ln,TRUE
22882,46,301,2022-11-15,2024-12-31,S39_peasleyCrossLane_road_mt001,Road,St. Helens,St. Helens 024E,Peasley Cross Ln near McManus Dr,TRUE
22883,46,301,2022-11-15,2024-12-31,S39_peasleyCrossLane_pathLHS_mt001,Path/cycle facility,St. Helens,St. Helens 024E,Peasley Cross Ln near McManus Dr,TRUE
22894,47,365,2022-11-15,2024-12-31,S38_warringtonRd_pathLHS_mt001,Path/cycle facility,St. Helens,St. Helens 022A,Warrington Rd near Clock Face Rd,TRUE
22895,47,365,2022-11-15,2024-12-31,S38_warringtonRd_mt001,Other / crossing,St. Helens,St. Helens 022A,Warrington Rd near Clock Face Rd,TRUE
22896,47,365,2022-11-15,2024-12-31,S38_warringtonRd_pathRHS_mt001,Path/cycle facility,St. Helens,St. Helens 022A,Warrington Rd near Clock Face Rd,TRUE
22898,45,363,2022-11-16,2024-12-31,S40_ClockFaceRd_Path_LHS_mt001,Path/cycle facility,St. Helens,St. Helens 020F,Clock Face Rd near Gartons Ln,TRUE
22899,45,363,2022-11-16,2024-12-31,S40_ClockFaceRd_Road_mt001,Road,St. Helens,St. Helens 020F,Clock Face Rd near Gartons Ln,TRUE
22900,45,363,2022-11-16,2024-12-31,S40_ClockFaceRd_Path_RHS_mt001,Path/cycle facility,St. Helens,St. Helens 020F,Clock Face Rd near Gartons Ln,TRUE
16350,47,365,2022-11-15,2024-12-31,S12_WirralCircularTrail_path_LHS_mt001,Path/cycle facility,Wirral,Wirral 027D,New Chester Rd near St Paul's Rd,TRUE
16351,47,365,2022-11-15,2024-12-31,S12_WirralCircularTrail_road_mt001,Road,Wirral,Wirral 027D,New Chester Rd near St Paul's Rd,TRUE
16352,47,365,2022-11-15,2024-12-31,S12_WirralCircularTrail_path_RHS_mt001,Path/cycle facility,Wirral,Wirral 027D,New Chester Rd near St Paul's Rd,TRUE
16356,47,360,2022-11-15,2024-12-31,S11_newChesterRd_path_LHS_mt001,Path/cycle facility,Wirral,Wirral 027D,New Chester Rd near Bedford Rd,TRUE
16357,47,360,2022-11-15,2024-12-31,S11_newChesterRd_road_mt001,Road,Wirral,Wirral 027D,New Chester Rd near Bedford Rd,TRUE
16358,47,360,2022-11-15,2024-12-31,S11_newChesterRd_path_RHS_mt001,Path/cycle facility,Wirral,Wirral 027D,New Chester Rd near Bedford Rd,TRUE
16367,46,364,2022-11-15,2024-12-31,S9_hoylakeRd_roadEast_mt001,Road,Wirral,Wirral 009B,Fender Ln near Hoylake Rd,TRUE
16368,46,364,2022-11-15,2024-12-31,S9_hoylakeRd_path_RHS_mt001,Path/cycle facility,Wirral,Wirral 009B,Fender Ln near Hoylake Rd,TRUE
16381,46,358,2022-11-16,2024-12-31,S10_newchesterRd_LHS_mt001,Other / crossing,Wirral,Wirral 031C,New Chester Rd near Sefton Rd,TRUE
16382,46,358,2022-11-16,2024-12-31,S10_newchesterRd_road_mt001,Road,Wirral,Wirral 031C,New Chester Rd near Sefton Rd,TRUE
16383,46,358,2022-11-16,2024-12-31,S10_newchesterRd_RHS_mt001,Other / crossing,Wirral,Wirral 031C,New Chester Rd near Sefton Rd,TRUE
16390,47,361,2022-11-15,2024-12-31,S9_hoylakeRd_roadWest_mt001,Road,Wirral,Wirral 009B,Fender Ln near Hoylake Rd,TRUE
16391,47,361,2022-11-15,2024-12-31,S9_hoylakeRd_path_LHS_mt001,Path/cycle facility,Wirral,Wirral 009B,Fender Ln near Hoylake Rd,TRUE
23796,47,130,2022-11-15,2024-05-24,s52_ArroweParkRoad_LHS_path_mt001,Path/cycle facility,Wirral,Wirral 034B,Arrowe Park Rd,TRUE
23797,47,130,2022-11-15,2024-05-24,s52_ArroweParkRoad_road_and_cyclelane_mt001,Path/cycle facility,Wirral,Wirral 034B,Arrowe Park Rd,TRUE
23798,47,130,2022-11-15,2024-05-24,s52_ArroweParkRoad_RHS_path_mt001,Path/cycle facility,Wirral,Wirral 034B,Arrowe Park Rd,TRUE
23802,35,335,2022-11-16,2024-12-31,s53_HarrisonDrive_LHS_path_mt001,Path/cycle facility,Wirral,Wirral 003B,Harrison Dr,TRUE
23803,35,335,2022-11-16,2024-12-31,s53_HarrisonDrive_road_mt001,Road,Wirral,Wirral 003B,Harrison Dr,TRUE
23804,35,335,2022-11-16,2024-12-31,s53_HarrisonDrive_RHS_path_mt001,Path/cycle facility,Wirral,Wirral 003B,Harrison Dr,TRUE
52615,46,364,2022-11-15,2024-12-31,S9_hoylakeRd_NEW_roadWest_mt001,Road,Wirral,Wirral 009B,Fender Ln near Hoylake Rd,TRUE
